cancelar;tipo
065722024014109930000037000003;endo
065722024014709930000042000002;endo
065722024012209930000007000001;endo
065722024012209930000007000002;endo
065722024012209930000007000003;endo
065722024012209930000007000004;endo
065722024012209930000007000005;endo
065722024005209930000035000010;endo
065722024013709930000034000003;endo
065722024002009820000007000006;endo
065722024012109930000011000002;endo
065722024001909930000137000003;endo
065722024002109930000186000004;endo
065722024013509930000865000001;endo
065722024002009930000326000001;endo
065722024001909930000181000002;endo
065722024005709930000085000001;endo
9300132957140286;endo
9300147095199204;endo
9300152304111927;endo
9300153672148068;endo
7700000473107328;endo
9300136024154078;endo
9300136024158752;endo
9300136024160706;endo
9300136024192364;endo
9300136024100698;endo
9300144984175139;endo
7700000515108258;endo
9300063064123401;endo
9300123585117372;endo
9300094395166056;endo
9300111531117248;endo
9300111531126189;endo
065722024004909930000002000001;endo
065722024013509930000004000005;endo
065722024013609930000002000004;endo
065722024013509820000003000004;endo
065722024002409930000117000003;endo
065722024001009930000033000002;endo
065722024001009930000033000009;endo
065722024001009930000029000004;endo
065722024001009930000029000008;endo
065722024001009930000029000011;endo
065722024001009930000029000013;endo
065722024002709930000033000006;endo
065722024006209930000050000004;endo
065722024011409930000054000001;endo
065722024004609930000054000003;endo
065722024004609930000054000040;endo
065722024004609930000054000042;endo
065722024014609930000011000001;endo
065722024004909930000345000014;endo
065722024014209820000003000001;endo
065722024004909930000099000005;endo
065722024004909930000099000007;endo
065722024004909930000099000008;endo
065722024013509930000127000002;endo
065722024004109930000036000001;endo
065722024010909930000103000005;endo
065722024010809930000001000002;endo
065722024010809930000001000017;endo
065722024010809930000001000018;endo
065722024013609930000076000001;endo
065722024003509930000059000001;endo
065722024003509930000059000007;endo
065722024003509930000059000009;endo
065722024003509930000059000011;endo
065722024003509930000059000013;endo
065722024003509930000059000015;endo
065722024003509930000059000017;endo
065722024003509930000059000021;endo
065722024002409930000077000003;endo
065722024001009820000007000004;endo
065722024000809930000049000002;endo
065722024000809930000049000012;endo
065722024014109930000037000001;endo
065722024014009930000035000002;endo
065722024014009930000035000005;endo
065722024002009930000037000001;endo
065722024000709930000074000009;endo
065722024001909930000033000005;endo
065722024001909930000033000008;endo
065722024003509930000087000007;endo
065722024003509930000087000011;endo
065722024004909930000139000002;endo
065722024004909930000139000005;endo
065722024004909930000139000013;endo
065722024004909930000139000016;endo
065722024004909930000139000020;endo
065722024004909930000139000023;endo
065722024000709930000071000047;endo
065722024000709930000071000076;endo
065722024000709930000071000094;endo
065722024004509930000101000001;endo
065722024004509930000101000003;endo
065722024000709930000111000006;endo
065722024004509930000052000012;endo
065722024001909930000060000002;endo
065722024006809930000045000002;endo
065722024001809930000042000008;endo
065722024000109930000070000001;endo
065722024000109930000070000002;endo
065722024005509930000012000004;endo
065722024005509930000012000007;endo
065722024013809930000043000007;endo
065722024006809930000015000004;endo
065722024006809930000015000007;endo
065722024006809930000015000010;endo
065722024014509930000045000002;endo
065722024014509930000045000009;endo
065722024004109930000066000004;endo
065722024004109930000066000006;endo
065722024013509930000152000002;endo
065722024013509930000152000003;endo
065722024013509930000152000009;endo
065722024013509930000152000010;endo
065722024013509930000152000014;endo
065722024014209930000070000003;endo
065722024014209930000070000004;endo
065722024014209930000070000005;endo
065722024014509930000072000001;endo
065722024005409930000013000004;endo
065722024010909930000114000002;endo
065722024010909930000114000010;endo
065722024000709930000155000001;endo
065722024000709930000155000002;endo
065722024000709930000155000003;endo
065722024000709930000155000004;endo
065722024000709930000155000007;endo
065722024000709930000155000012;endo
065722024000709930000155000013;endo
065722024000709930000155000014;endo
065722024004609930000082000001;endo
065722024004609930000082000002;endo
065722024001009820000009000004;endo
065722024013509930000264000005;endo
065722024013509930000264000006;endo
065722024014609930000042000006;endo
065722024000709930000115000002;endo
065722024014409930000080000001;endo
065722024013609820000005000008;endo
065722024013609820000005000015;endo
065722024013609820000005000016;endo
065722024013609820000005000017;endo
065722024013609820000005000020;endo
065722024014709930000074000003;endo
065722024014709930000074000006;endo
065722024002009930000138000008;endo
065722024002409930000115000001;endo
065722024005509930000030000005;endo
065722024002509930000049000001;endo
065722024011409930000078000001;endo
065722024011409930000078000003;endo
065722024011409930000078000006;endo
065722024003509930000005000001;endo
065722024011409930000031000001;endo
065722024004609930000071000001;endo
065722024011709930000001000005;endo
065722024011709930000001000008;endo
065722024011709930000001000011;endo
065722024011709930000001000015;endo
065722024011709930000001000016;endo
065722024011909930000002000054;endo
065722024011909930000002000059;endo
065722024011909930000002000063;endo
065722024011909930000002000066;endo
065722024011909930000002000068;endo
065722024011909930000002000076;endo
065722024011909930000002000078;endo
065722024011909930000002000080;endo
065722024011909930000002000086;endo
065722024011909930000002000091;endo
065722024011909930000002000099;endo
065722024011909930000002000106;endo
065722024011909930000002000114;endo
065722024011909930000002000117;endo
065722024011909930000002000120;endo
065722024011909930000002000122;endo
